,ds,y
0,2020-03-01 07:30:00,2
1,2020-03-01 08:00:00,144
2,2020-03-01 08:30:00,117
3,2020-03-01 09:00:00,65
4,2020-03-01 09:30:00,271
5,2020-03-01 10:00:00,624
6,2020-03-01 10:30:00,594
7,2020-03-01 11:00:00,325
8,2020-03-01 11:30:00,272
9,2020-03-01 12:00:00,505
10,2020-03-01 12:30:00,266
11,2020-03-01 13:00:00,266
12,2020-03-01 13:30:00,605
13,2020-03-01 14:00:00,439
14,2020-03-01 14:30:00,267
15,2020-03-01 15:00:00,250
16,2020-03-01 15:30:00,262
17,2020-03-01 16:00:00,146
18,2020-03-01 16:30:00,147
19,2020-03-01 17:00:00,332
20,2020-03-01 17:30:00,497
21,2020-03-01 18:00:00,251
22,2020-03-01 18:30:00,169
23,2020-03-01 19:00:00,379
24,2020-03-01 19:30:00,261
25,2020-03-01 20:00:00,283
26,2020-03-01 20:30:00,200
27,2020-03-01 21:00:00,3
28,2020-03-02 07:00:00,8
29,2020-03-02 07:30:00,18
30,2020-03-02 08:00:00,160
31,2020-03-02 08:30:00,244
32,2020-03-02 09:00:00,139
33,2020-03-02 09:30:00,118
34,2020-03-02 10:00:00,198
35,2020-03-02 10:30:00,163
36,2020-03-02 11:00:00,302
37,2020-03-02 11:30:00,370
38,2020-03-02 12:00:00,342
39,2020-03-02 12:30:00,279
40,2020-03-02 13:00:00,252
41,2020-03-02 13:30:00,275
42,2020-03-02 14:00:00,186
43,2020-03-02 14:30:00,224
44,2020-03-02 15:00:00,477
45,2020-03-02 15:30:00,504
46,2020-03-02 16:00:00,542
47,2020-03-02 16:30:00,364
48,2020-03-02 17:00:00,422
49,2020-03-02 17:30:00,454
50,2020-03-02 18:00:00,222
51,2020-03-02 18:30:00,276
52,2020-03-02 19:00:00,213
53,2020-03-02 19:30:00,378
54,2020-03-02 20:00:00,374
55,2020-03-02 20:30:00,204
56,2020-03-02 21:00:00,165
57,2020-03-02 21:30:00,101
58,2020-03-03 07:00:00,94
59,2020-03-03 07:30:00,137
60,2020-03-03 08:00:00,85
61,2020-03-03 08:30:00,170
62,2020-03-03 09:00:00,238
63,2020-03-03 09:30:00,420
64,2020-03-03 10:00:00,347
65,2020-03-03 10:30:00,310
66,2020-03-03 11:00:00,319
67,2020-03-03 11:30:00,647
68,2020-03-03 12:00:00,325
69,2020-03-03 12:30:00,424
70,2020-03-03 13:00:00,462
71,2020-03-03 13:30:00,355
72,2020-03-03 14:00:00,261
73,2020-03-03 14:30:00,245
74,2020-03-03 15:00:00,400
75,2020-03-03 15:30:00,457
76,2020-03-03 16:00:00,122
77,2020-03-03 16:30:00,84
78,2020-03-03 17:00:00,579
79,2020-03-03 17:30:00,367
80,2020-03-03 18:00:00,371
81,2020-03-03 18:30:00,356
82,2020-03-03 19:00:00,279
83,2020-03-03 19:30:00,293
84,2020-03-03 20:00:00,395
85,2020-03-03 20:30:00,241
86,2020-03-03 21:00:00,335
87,2020-03-03 21:30:00,108
88,2020-03-03 22:00:00,11
89,2020-03-04 07:00:00,24
90,2020-03-04 07:30:00,64
91,2020-03-04 08:00:00,107
92,2020-03-04 08:30:00,68
93,2020-03-04 09:00:00,87
94,2020-03-04 09:30:00,192
95,2020-03-04 10:00:00,331
96,2020-03-04 10:30:00,167
97,2020-03-04 11:00:00,219
98,2020-03-04 11:30:00,137
99,2020-03-04 12:00:00,158
100,2020-03-04 12:30:00,235
101,2020-03-04 13:00:00,267
102,2020-03-04 13:30:00,353
103,2020-03-04 14:00:00,214
104,2020-03-04 14:30:00,152
105,2020-03-04 15:00:00,107
106,2020-03-04 15:30:00,289
107,2020-03-04 16:00:00,203
108,2020-03-04 16:30:00,367
109,2020-03-04 17:00:00,308
110,2020-03-04 17:30:00,451
111,2020-03-04 18:00:00,282
112,2020-03-04 18:30:00,321
113,2020-03-04 19:00:00,608
114,2020-03-04 19:30:00,326
115,2020-03-04 20:00:00,322
116,2020-03-04 20:30:00,295
117,2020-03-04 21:00:00,171
118,2020-03-05 07:00:00,12
119,2020-03-05 07:30:00,8
120,2020-03-05 08:00:00,139
121,2020-03-05 08:30:00,195
122,2020-03-05 09:00:00,285
123,2020-03-05 09:30:00,320
124,2020-03-05 10:00:00,334
125,2020-03-05 10:30:00,649
126,2020-03-05 11:00:00,443
127,2020-03-05 11:30:00,603
128,2020-03-05 12:00:00,902
129,2020-03-05 12:30:00,422
130,2020-03-05 13:00:00,311
131,2020-03-05 13:30:00,372
132,2020-03-05 14:00:00,218
133,2020-03-05 14:30:00,172
134,2020-03-05 15:00:00,426
135,2020-03-05 15:30:00,562
136,2020-03-05 16:00:00,317
137,2020-03-05 16:30:00,533
138,2020-03-05 17:00:00,494
139,2020-03-05 17:30:00,436
140,2020-03-05 18:00:00,367
141,2020-03-05 18:30:00,289
142,2020-03-05 19:00:00,523
143,2020-03-05 19:30:00,451
144,2020-03-05 20:00:00,420
145,2020-03-05 20:30:00,265
146,2020-03-05 21:00:00,160
147,2020-03-05 21:30:00,15
148,2020-03-06 07:00:00,75
149,2020-03-06 07:30:00,206
150,2020-03-06 08:00:00,293
151,2020-03-06 08:30:00,249
152,2020-03-06 09:00:00,347
153,2020-03-06 09:30:00,603
154,2020-03-06 10:00:00,396
155,2020-03-06 10:30:00,529
156,2020-03-06 11:00:00,351
157,2020-03-06 11:30:00,577
158,2020-03-06 12:00:00,667
159,2020-03-06 12:30:00,437
160,2020-03-06 13:00:00,377
161,2020-03-06 13:30:00,527
162,2020-03-06 14:00:00,136
163,2020-03-06 14:30:00,294
164,2020-03-06 15:00:00,277
165,2020-03-06 15:30:00,339
166,2020-03-06 16:00:00,395
167,2020-03-06 16:30:00,692
168,2020-03-06 17:00:00,419
169,2020-03-06 17:30:00,173
170,2020-03-06 18:00:00,442
171,2020-03-06 18:30:00,455
172,2020-03-06 19:00:00,469
173,2020-03-06 19:30:00,445
174,2020-03-06 20:00:00,526
175,2020-03-06 20:30:00,481
176,2020-03-06 21:00:00,171
