"ds","y","total_clients","num_vendas"
"2020-05-05",2020,534,7324
"2020-04-05",2020,444,6468
"2020-05-02",2020,625,10803
"2020-03-02",2020,808,7974
"2020-03-18",2020,1032,13822
"2020-05-18",2020,500,6066
"2020-05-14",2020,543,7488
"2020-03-16",2020,1137,17289
"2020-03-17",2020,1181,17868
"2020-04-30",2020,644,9531
"2020-03-11",2020,932,6303
"2020-05-27",2020,444,3523
"2020-04-11",2020,548,8281
"2020-03-15",2020,789,12973
"2020-03-13",2020,1160,17150
"2020-03-10",2020,986,9768
"2020-04-03",2020,577,8620
"2020-03-19",2020,1051,16790
"2020-05-21",2020,573,8442
"2020-05-06",2020,559,5588
"2020-04-22",2020,547,5349
"2020-05-29",2020,597,8274
"2020-04-10",2020,491,7121
"2020-04-21",2020,466,6088
"2020-03-05",2020,1046,10643
"2020-04-09",2020,645,10344
"2020-05-28",2020,624,8526
"2020-04-12",2020,378,5047
"2020-04-04",2020,560,8912
"2020-04-26",2020,506,7324
"2020-03-31",2020,502,6713
"2020-05-13",2020,584,5234
"2020-05-12",2020,552,7331
"2020-03-01",2020,620,7942
"2020-04-19",2020,474,7458
"2020-03-28",2020,523,8318
"2020-03-26",2020,509,6318
"2020-04-27",2020,493,5688
"2020-05-09",2020,632,10950
"2020-03-20",2020,847,14437
"2020-03-12",2020,1151,15689
"2020-05-23",2020,579,9034
"2020-04-23",2020,617,9189
"2020-03-29",2020,359,5290
"2020-03-22",2020,473,8125
"2020-05-26",2020,535,6866
"2020-04-13",2020,458,5545
"2020-04-18",2020,636,10129
"2020-03-03",2020,978,9237
"2020-05-17",2020,437,6649
"2020-03-07",2020,982,11944
"2020-05-15",2020,635,9479
"2020-04-01",2020,538,5528
"2020-03-23",2020,506,6674
"2020-04-15",2020,583,6065
"2020-03-08",2020,630,7896
"2020-05-11",2020,464,5374
"2020-04-14",2020,531,8024
"2020-05-10",2020,387,5031
"2020-03-30",2020,482,5965
"2020-05-08",2020,636,9800
"2020-05-30",2020,618,10118
"2020-05-20",2020,578,6227
"2020-04-02",2020,541,8023
"2020-04-28",2020,517,7014
"2020-04-16",2020,575,9070
"2020-05-22",2020,602,7658
"2020-03-27",2020,533,7430
"2020-04-24",2020,593,9281
"2020-05-03",2020,403,5716
"2020-04-06",2020,467,6310
"2020-05-24",2020,413,6093
"2020-03-14",2020,1104,17632
"2020-03-06",2020,1053,11357
"2020-05-19",2020,551,7618
"2020-03-04",2020,935,6825
"2020-04-20",2020,511,6234
"2020-04-25",2020,635,10200
"2020-04-08",2020,568,6183
"2020-05-04",2020,522,6421
"2020-03-21",2020,635,11494
"2020-04-07",2020,501,8299
"2020-05-07",2020,580,8413
"2020-03-25",2020,546,5364
"2020-04-29",2020,617,6647
"2020-04-17",2020,589,9078
"2020-03-24",2020,457,6525
"2020-05-25",2020,445,6124
"2020-05-01",2020,594,9910
"2020-05-31",2020,419,5704
"2020-05-16",2020,613,9733
"2020-03-09",2020,941,8993
