"ds","y"
"2020-03-01",7830
"2020-03-02",5885
"2020-03-03",5919
"2020-03-04",4631
"2020-03-05",5786
"2020-03-06",6355
"2020-03-07",6021
"2020-03-08",5445
"2020-03-09",4879
"2020-03-10",4895
"2020-03-11",5101
"2020-03-12",6125
"2020-03-13",6174
"2020-03-14",6782
"2020-03-15",5926
"2020-03-16",5740
"2020-03-17",6926
"2020-03-18",8211
"2020-03-19",7208
"2020-03-20",6693
"2020-03-21",5913
"2020-03-22",4081
"2020-03-23",3975
"2020-03-24",3497
"2020-03-25",3877
"2020-03-26",4508
"2020-03-27",4526
"2020-03-28",4782
"2020-03-29",2852
"2020-03-30",3879
"2020-03-31",3759
"2020-04-01",4058
"2020-04-02",4536
"2020-04-03",5222
"2020-04-04",5656
"2020-04-05",3671
"2020-04-06",3840
"2020-04-07",4084
"2020-04-08",4602
"2020-04-09",6158
"2020-04-10",4549
"2020-04-11",5824
"2020-04-12",3479
"2020-04-13",3611
"2020-04-14",4018
"2020-04-15",4060
"2020-04-16",5069
"2020-04-17",4861
"2020-04-18",5951
"2020-04-19",3371
"2020-04-20",4366
"2020-04-21",3670
"2020-04-22",4292
"2020-04-23",4640
"2020-04-24",5571
"2020-04-25",6176
"2020-04-26",4079
"2020-04-27",3660
"2020-04-28",4301
"2020-04-29",4310
"2020-04-30",5381
"2020-05-01",2787
"2020-05-02",6071
"2020-05-03",3887
"2020-05-04",3518
"2020-05-05",3922
"2020-05-06",4100
"2020-05-07",4296
"2020-05-08",5012
"2020-05-09",6557
"2020-05-10",3566
"2020-05-11",3474
"2020-05-12",4095
"2020-05-13",1075
"2020-05-14",4357
"2020-05-15",4528
"2020-05-16",5656
"2020-05-17",3103
"2020-05-18",3599
"2020-05-19",4328
"2020-05-20",4289
"2020-05-21",4676
"2020-05-22",4883
"2020-05-23",5198
"2020-05-24",3322
"2020-05-25",3093
"2020-05-26",4099
"2020-05-27",3972
"2020-05-28",3820
"2020-05-29",4784
"2020-05-30",5935
"2020-05-31",3926
