"ds","y"
"2020-03-01",740
"2020-03-02",682
"2020-03-03",697
"2020-03-04",712
"2020-03-05",779
"2020-03-06",839
"2020-03-07",748
"2020-03-08",659
"2020-03-09",711
"2020-03-10",728
"2020-03-11",734
"2020-03-12",803
"2020-03-13",751
"2020-03-14",792
"2020-03-15",699
"2020-03-16",670
"2020-03-17",809
"2020-03-18",867
"2020-03-19",742
"2020-03-20",682
"2020-03-21",610
"2020-03-22",449
"2020-03-23",508
"2020-03-24",434
"2020-03-25",469
"2020-03-26",510
"2020-03-27",513
"2020-03-28",535
"2020-03-29",364
"2020-03-30",460
"2020-03-31",465
"2020-04-01",465
"2020-04-02",509
"2020-04-03",552
"2020-04-04",580
"2020-04-05",424
"2020-04-06",475
"2020-04-07",489
"2020-04-08",486
"2020-04-09",664
"2020-04-10",544
"2020-04-11",612
"2020-04-12",412
"2020-04-13",468
"2020-04-14",462
"2020-04-15",470
"2020-04-16",559
"2020-04-17",598
"2020-04-18",641
"2020-04-19",383
"2020-04-20",510
"2020-04-21",417
"2020-04-22",505
"2020-04-23",543
"2020-04-24",603
"2020-04-25",632
"2020-04-26",444
"2020-04-27",437
"2020-04-28",519
"2020-04-29",518
"2020-04-30",601
"2020-05-01",300
"2020-05-02",665
"2020-05-03",437
"2020-05-04",419
"2020-05-05",461
"2020-05-06",478
"2020-05-07",506
"2020-05-08",554
"2020-05-09",690
"2020-05-10",457
"2020-05-11",448
"2020-05-12",486
"2020-05-13",133
"2020-05-14",522
"2020-05-15",564
"2020-05-16",632
"2020-05-17",355
"2020-05-18",483
"2020-05-19",527
"2020-05-20",509
"2020-05-21",522
"2020-05-22",603
"2020-05-23",555
"2020-05-24",404
"2020-05-25",361
"2020-05-26",506
"2020-05-27",539
"2020-05-28",516
"2020-05-29",582
"2020-05-30",629
"2020-05-31",446
