	MAPE	Parameters
0	0.40821516054012846	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 30, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
1	0.40821516054012846	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 30, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
2	0.39500335993619445	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 30, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
3	0.39500335993619445	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 30, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
4	0.4148517751569593	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 50, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
5	0.4148517751569593	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 50, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
6	0.39499801319791894	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 50, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
7	0.39499801319791894	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 50, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
8	0.4082151605934132	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 30, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
9	0.4082151605934132	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 30, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
10	0.3950033599362996	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 30, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
11	0.3950033599362996	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 30, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
12	0.414851775202804	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 50, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
13	0.414851775202804	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 50, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
14	0.3949980131979678	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 50, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
15	0.3949980131979678	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 50, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
16	0.4127369261954343	{'changepoint_prior_scale': 0.5, 'holidays_prior_scale': 0.3, 'n_changepoints': 30, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
17	0.4127369261954343	{'changepoint_prior_scale': 0.5, 'holidays_prior_scale': 0.3, 'n_changepoints': 30, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
18	0.3949237409112216	{'changepoint_prior_scale': 0.5, 'holidays_prior_scale': 0.3, 'n_changepoints': 30, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
19	0.3949237409112216	{'changepoint_prior_scale': 0.5, 'holidays_prior_scale': 0.3, 'n_changepoints': 30, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
20	0.2630269489983532	{'changepoint_prior_scale': 0.5, 'holidays_prior_scale': 0.3, 'n_changepoints': 50, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
21	0.2630269489983532	{'changepoint_prior_scale': 0.5, 'holidays_prior_scale': 0.3, 'n_changepoints': 50, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
22	0.3949080261208371	{'changepoint_prior_scale': 0.5, 'holidays_prior_scale': 0.3, 'n_changepoints': 50, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
23	0.3949080261208371	{'changepoint_prior_scale': 0.5, 'holidays_prior_scale': 0.3, 'n_changepoints': 50, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
24	0.4127369184596268	{'changepoint_prior_scale': 0.5, 'holidays_prior_scale': 0.5, 'n_changepoints': 30, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
25	0.4127369184596268	{'changepoint_prior_scale': 0.5, 'holidays_prior_scale': 0.5, 'n_changepoints': 30, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
26	0.39492374091031596	{'changepoint_prior_scale': 0.5, 'holidays_prior_scale': 0.5, 'n_changepoints': 30, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
27	0.39492374091031596	{'changepoint_prior_scale': 0.5, 'holidays_prior_scale': 0.5, 'n_changepoints': 30, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
28	0.256409191568342	{'changepoint_prior_scale': 0.5, 'holidays_prior_scale': 0.5, 'n_changepoints': 50, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
29	0.256409191568342	{'changepoint_prior_scale': 0.5, 'holidays_prior_scale': 0.5, 'n_changepoints': 50, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
30	0.39490802586909984	{'changepoint_prior_scale': 0.5, 'holidays_prior_scale': 0.5, 'n_changepoints': 50, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
31	0.39490802586909984	{'changepoint_prior_scale': 0.5, 'holidays_prior_scale': 0.5, 'n_changepoints': 50, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
