,mes,diames,semana,diasemana,num,hora,minuto,y
0,Março,1,09,Domingo,0,8,0,0.0
1,Março,1,09,Domingo,0,8,30,0.0
2,Março,1,09,Domingo,0,9,0,2.5247811240437183
3,Março,1,09,Domingo,0,9,30,34.73959860213488
4,Março,1,09,Domingo,0,10,0,86.83895537592667
5,Março,1,09,Domingo,0,10,30,121.11937492509304
6,Março,1,09,Domingo,0,11,0,160.66326463716118
7,Março,1,09,Domingo,0,11,30,176.93651832465443
8,Março,1,09,Domingo,0,12,0,182.3943738470826
9,Março,1,09,Domingo,0,12,30,166.4500316086407
10,Março,1,09,Domingo,0,13,0,149.7095259121294
11,Março,1,09,Domingo,0,13,30,128.37638501320868
12,Março,1,09,Domingo,0,14,0,114.77457107787676
13,Março,1,09,Domingo,0,14,30,85.06964611960646
14,Março,1,09,Domingo,0,15,0,90.11703393577739
15,Março,1,09,Domingo,0,15,30,100.27573181091586
16,Março,1,09,Domingo,0,16,0,115.70666130514448
17,Março,1,09,Domingo,0,16,30,149.5623832701866
18,Março,1,09,Domingo,0,17,0,154.4630899420415
19,Março,1,09,Domingo,0,17,30,143.11973829053545
20,Março,1,09,Domingo,0,18,0,118.73970411211315
21,Março,1,09,Domingo,0,18,30,90.9554209751286
22,Março,1,09,Domingo,0,19,0,42.64934159398634
23,Março,1,09,Domingo,0,19,30,0.0
24,Março,1,09,Domingo,0,20,0,0.0
25,Março,1,09,Domingo,0,20,30,0.0
26,Março,1,09,Domingo,0,21,0,0.0
27,Março,2,09,Segunda Feira,1,8,0,0.0
28,Março,2,09,Segunda Feira,1,8,30,0.0
29,Março,2,09,Segunda Feira,1,9,0,0.0
30,Março,2,09,Segunda Feira,1,9,30,0.0
31,Março,2,09,Segunda Feira,1,10,0,51.6883332774568
32,Março,2,09,Segunda Feira,1,10,30,97.3093502857868
33,Março,2,09,Segunda Feira,1,11,0,135.88025166588136
34,Março,2,09,Segunda Feira,1,11,30,176.37809512240335
35,Março,2,09,Segunda Feira,1,12,0,179.80495452412563
36,Março,2,09,Segunda Feira,1,12,30,172.2334603707298
37,Março,2,09,Segunda Feira,1,13,0,166.32152286002582
38,Março,2,09,Segunda Feira,1,13,30,134.59527228939916
39,Março,2,09,Segunda Feira,1,14,0,124.37629166697742
40,Março,2,09,Segunda Feira,1,14,30,121.79295371796997
