	MAPE	Parameters
0	0.8200929748480625	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 30, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
1	0.8200929748480625	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 30, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
2	0.8200929748480625	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 30, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
3	0.7076916607666385	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 30, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 15}
4	0.7076916607666385	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 30, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
5	0.7076916607666385	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 30, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
6	0.3998728674556536	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 50, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
7	0.3998728674556536	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 50, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
8	0.3998728674556536	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 50, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
9	0.7077908906027185	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 50, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 15}
10	0.7077908906027185	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 50, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
11	0.7077908906027185	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 50, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
12	0.4335444534368235	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 66, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
13	0.4335444534368235	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 66, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
14	0.4335444534368235	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 66, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
15	0.7077316035309285	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 66, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 15}
16	0.7077316035309285	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 66, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
17	0.7077316035309285	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.3, 'n_changepoints': 66, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
18	0.41021276233170056	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 30, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
19	0.41021276233170056	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 30, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
20	0.41021276233170056	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 30, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
21	0.7076916607667834	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 30, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 15}
22	0.7076916607667834	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 30, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
23	0.7076916607667834	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 30, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
24	0.39997708586797387	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 50, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
25	0.39997708586797387	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 50, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
26	0.39997708586797387	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 50, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
27	0.7077908906032285	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 50, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 15}
28	0.7077908906032285	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 50, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
29	0.7077908906032285	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 50, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
30	0.43353439502409863	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 66, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
31	0.43353439502409863	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 66, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
32	0.43353439502409863	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 66, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
33	0.7077316035306679	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 66, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 15}
34	0.7077316035306679	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 66, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
35	0.7077316035306679	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 0.5, 'n_changepoints': 66, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
36	0.4104076293898816	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 10, 'n_changepoints': 30, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
37	0.4104076293898816	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 10, 'n_changepoints': 30, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
38	0.4104076293898816	{'changepoint_prior_scale': 0.3, 'holidays_prior_scale': 10, 'n_changepoints': 30, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
