	MAPE	Parameters
0	88.47390410596617	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 15, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
1	88.47390410596617	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 15, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
2	88.47390410596617	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 15, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
3	7801.56368627604	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 15, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 15}
4	7801.56368627604	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 15, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
5	7801.56368627604	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 15, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
6	86.9206684803227	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 15, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
7	86.9206684803227	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 15, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
8	86.9206684803227	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 15, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
9	11636.983217561094	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 15, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 15}
10	11636.983217561094	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 15, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
11	11636.983217561094	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 15, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
12	88.36738962086149	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 15, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
13	88.36738962086149	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 15, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
14	88.36738962086149	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 15, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
15	9894.573253547991	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 15, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 15}
16	9894.573253547991	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 15, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
17	9894.573253547991	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 15, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
18	88.47390410596617	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 20, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
19	88.47390410596617	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 20, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
20	88.47390410596617	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 20, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
21	7801.56368627604	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 20, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 15}
22	7801.56368627604	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 20, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
23	7801.56368627604	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 20, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
24	86.9206684803227	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 20, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
25	86.9206684803227	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 20, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
26	86.9206684803227	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 20, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
27	11636.983217561094	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 20, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 15}
28	11636.983217561094	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 20, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
29	11636.983217561094	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 20, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
30	88.36738962086149	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 20, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
31	88.36738962086149	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 20, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
32	88.36738962086149	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 20, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
33	9894.573253547991	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 20, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 15}
34	9894.573253547991	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 20, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
35	9894.573253547991	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 20, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
36	88.47390410596617	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 25, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
37	88.47390410596617	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 25, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
38	88.47390410596617	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 25, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
39	7801.56368627604	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 25, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 15}
40	7801.56368627604	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 25, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
41	7801.56368627604	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 25, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
42	86.9206684803227	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 25, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
43	86.9206684803227	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 25, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
44	86.9206684803227	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 25, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
45	11636.983217561094	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 25, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 15}
46	11636.983217561094	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 25, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
47	11636.983217561094	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 25, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
48	88.36738962086149	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 25, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
49	88.36738962086149	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 25, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
50	88.36738962086149	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 25, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
51	9894.573253547991	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 25, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 15}
52	9894.573253547991	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 25, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
53	9894.573253547991	{'changepoint_prior_scale': 15, 'holidays_prior_scale': 25, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
54	89.50314292015642	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 15, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
55	89.50314292015642	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 15, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
56	89.50314292015642	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 15, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
57	9594.723989273392	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 15, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 15}
58	9594.723989273392	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 15, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
59	9594.723989273392	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 15, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
60	89.53913304900966	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 15, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
61	89.53913304900966	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 15, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
62	89.53913304900966	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 15, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
63	13822.74805843386	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 15, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 15}
64	13822.74805843386	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 15, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
65	13822.74805843386	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 15, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
66	88.49764323574664	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 15, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
67	88.49764323574664	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 15, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
68	88.49764323574664	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 15, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
69	9979.612623097482	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 15, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 15}
70	9979.612623097482	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 15, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
71	9979.612623097482	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 15, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
72	89.50314292015642	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 20, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
73	89.50314292015642	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 20, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
74	89.50314292015642	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 20, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
75	9594.723989273392	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 20, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 15}
76	9594.723989273392	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 20, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
77	9594.723989273392	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 20, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
78	89.53913304900966	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 20, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
79	89.53913304900966	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 20, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
80	89.53913304900966	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 20, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
81	13822.74805843386	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 20, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 15}
82	13822.74805843386	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 20, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
83	13822.74805843386	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 20, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
84	88.49764323574664	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 20, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
85	88.49764323574664	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 20, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
86	88.49764323574664	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 20, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
87	9979.612623097482	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 20, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 15}
88	9979.612623097482	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 20, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
89	9979.612623097482	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 20, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
90	89.50314292015642	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 25, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
91	89.50314292015642	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 25, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
92	89.50314292015642	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 25, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
93	9594.723989273392	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 25, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 15}
94	9594.723989273392	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 25, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
95	9594.723989273392	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 25, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 25}
96	89.53913304900966	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 25, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 15}
97	89.53913304900966	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 25, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 20}
98	89.53913304900966	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 25, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 25}
99	13822.74805843386	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 25, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 15}
100	13822.74805843386	{'changepoint_prior_scale': 20, 'holidays_prior_scale': 25, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 20}
