,mes,diames,semana,diasemana,num,hora,minuto,y
28,Março,2,09,Segunda Feira,1,7,0,8
29,Março,2,09,Segunda Feira,1,7,30,18
30,Março,2,09,Segunda Feira,1,8,0,160
31,Março,2,09,Segunda Feira,1,8,30,244
32,Março,2,09,Segunda Feira,1,9,0,139
33,Março,2,09,Segunda Feira,1,9,30,118
34,Março,2,09,Segunda Feira,1,10,0,198
35,Março,2,09,Segunda Feira,1,10,30,163
36,Março,2,09,Segunda Feira,1,11,0,302
37,Março,2,09,Segunda Feira,1,11,30,370
38,Março,2,09,Segunda Feira,1,12,0,342
39,Março,2,09,Segunda Feira,1,12,30,279
40,Março,2,09,Segunda Feira,1,13,0,252
41,Março,2,09,Segunda Feira,1,13,30,275
42,Março,2,09,Segunda Feira,1,14,0,186
43,Março,2,09,Segunda Feira,1,14,30,224
44,Março,2,09,Segunda Feira,1,15,0,477
45,Março,2,09,Segunda Feira,1,15,30,504
46,Março,2,09,Segunda Feira,1,16,0,542
47,Março,2,09,Segunda Feira,1,16,30,364
48,Março,2,09,Segunda Feira,1,17,0,422
49,Março,2,09,Segunda Feira,1,17,30,454
50,Março,2,09,Segunda Feira,1,18,0,222
51,Março,2,09,Segunda Feira,1,18,30,276
52,Março,2,09,Segunda Feira,1,19,0,213
53,Março,2,09,Segunda Feira,1,19,30,378
54,Março,2,09,Segunda Feira,1,20,0,374
55,Março,2,09,Segunda Feira,1,20,30,204
56,Março,2,09,Segunda Feira,1,21,0,165
57,Março,2,09,Segunda Feira,1,21,30,101
231,Março,9,10,Segunda Feira,1,7,0,81
232,Março,9,10,Segunda Feira,1,7,30,207
233,Março,9,10,Segunda Feira,1,8,0,65
234,Março,9,10,Segunda Feira,1,8,30,223
235,Março,9,10,Segunda Feira,1,9,0,226
236,Março,9,10,Segunda Feira,1,9,30,283
237,Março,9,10,Segunda Feira,1,10,0,268
238,Março,9,10,Segunda Feira,1,10,30,229
239,Março,9,10,Segunda Feira,1,11,0,428
240,Março,9,10,Segunda Feira,1,11,30,395
241,Março,9,10,Segunda Feira,1,12,0,255
242,Março,9,10,Segunda Feira,1,12,30,369
243,Março,9,10,Segunda Feira,1,13,0,316
244,Março,9,10,Segunda Feira,1,13,30,195
245,Março,9,10,Segunda Feira,1,14,0,166
246,Março,9,10,Segunda Feira,1,14,30,311
247,Março,9,10,Segunda Feira,1,15,0,230
248,Março,9,10,Segunda Feira,1,15,30,399
249,Março,9,10,Segunda Feira,1,16,0,682
250,Março,9,10,Segunda Feira,1,16,30,354
